Handle,Number,State,Mandatory Solved,Mandatory not Solved
zezoo050,6,YES,"['F', 'B', 'C']",[]
omaradwan,5,YES,"['F', 'B', 'C']",[]
Mustafa_Bahnasy,3,NO,['B'],"['F', 'C']"
MoamenSherif,6,YES,"['F', 'B', 'C']",[]
ammar7018,5,YES,"['F', 'B', 'C']",[]
aligadallah,6,YES,"['F', 'B', 'C']",[]
MEGZ112233,5,YES,"['F', 'B', 'C']",[]
AhmedOsama11,6,YES,"['F', 'B', 'C']",[]
go_next,6,YES,"['F', 'B', 'C']",[]
Abdelrhman_ahmed,5,YES,"['F', 'B', 'C']",[]
test,0,No,Zero or Incorrect Handle,Zero or Incorrect Handle
Youssefmorsi1,4,YES,"['F', 'B', 'C']",[]
Haruyukio,5,YES,"['F', 'B', 'C']",[]
Ali_Tarek9,4,YES,"['F', 'B', 'C']",[]
Abanoub_Ashraf,5,YES,"['F', 'B', 'C']",[]
Ahmed1Galal,4,YES,"['A', 'B', 'C', 'E']",[]
mageds,1,NO,['E'],"['A', 'B', 'C']"
youssef57,1,NO,['A'],"['B', 'C', 'E']"
Yousef_Sameh,6,YES,"['F', 'B', 'C']",[]
YoussefMohammed1,6,YES,"['F', 'B', 'C']",[]
nagyjosef,5,YES,"['F', 'B', 'C']",[]
Zeyad_Atef,1,NO,[],"['F', 'B', 'C']"
MohmedSalah,4,NO,"['B', 'C']",['F']
Nouran_Ahmed,4,YES,"['F', 'B', 'C']",[]
AZOUNY,3,YES,"['F', 'B', 'C']",[]
O_omar_fayez,6,YES,"['F', 'B', 'C']",[]
omarmamdouh14,4,NO,"['F', 'B']",['C']
osgh,3,YES,"['F', 'B', 'C']",[]
Senior900,3,YES,"['F', 'B', 'C']",[]
Eiad_Ahmed,2,NO,[],"['F', 'B', 'C']"
_alitarek,5,NO,"['F', 'B']",['C']
ahmedsaif10,1,NO,['B'],"['F', 'C']"
O_o3AsFOUr,0,No,Zero or Incorrect Handle,Zero or Incorrect Handle
Verinagad,4,NO,"['B', 'C']",['F']
itsmosalah,6,YES,"['F', 'B', 'C']",[]
Mohamed_AboElela,0,No,Zero or Incorrect Handle,Zero or Incorrect Handle
Medo2525,4,NO,"['B', 'C']",['F']
mm480999,5,YES,"['F', 'B', 'C']",[]
Maria_Tawfek,3,NO,['B'],"['F', 'C']"
MariamAlaa,4,YES,"['F', 'B', 'C']",[]
hanaaahmed,5,YES,"['F', 'B', 'C']",[]
andrew32,0,No,Zero or Incorrect Handle,Zero or Incorrect Handle
Alighaleb,2,NO,[],"['F', 'B', 'C']"
ahmedfathy99919,0,No,Zero or Incorrect Handle,Zero or Incorrect Handle
